Entity,Day,Training dataset size,Domain
ST-MoE,2022-02-17,1500000000000,Language
SVM-CNN,2006-06-17,583200,Vision
Sandwich Transformer,2019-11-10,700000000,Language
SciBERT,2019-03-26,3170000000,Language
Seed1.5-VL,2025-05-11,3000000000000,Multiple domains
"Segatron-XL large, M=384 + HCP",2022-03-21,103000000,Language
Segment Anything Model,2023-04-05,1100000000,Vision
Self Organizing System,1955-03-01,2,Other
Seq2Seq LSTM,2014-09-10,870000000,Language
SexNet classification,1990-10-01,80,Vision
SexNet compression,1990-10-01,81000,Vision
Show-1,2023-09-27,160358400000000,Other
ShuffleNet v1,2017-07-03,1280000,Vision
Siamese-TDNN,1993-08-01,7701,Vision
SigLIP 400M,2023-03-27,6705000000000,Vision
SimCLR,2020-02-13,10467704832,Vision
SimCSE,2022-05-18,27363505,Language
SimpleNet,2016-08-22,1280000,Vision
Skywork-13B,2023-10-30,3200000000000,Language
Solar Open 100B
,2025-12-31,19700000000000,Language
Sparse all-MLP,2022-04-14,100000000000,Language
Spatial Pyramid Matching,2006-06-17,3030,Vision
Spatially-Sparse CNN,2014-09-23,901200,Vision
Speaker-independent vowel classification,1989-11-27,4104,Speech
SqueezeNet,2016-02-24,1280000,Vision
Stacked Denoising Autoencoders,2010-01-03,339250000,Other
StarCoder,2023-05-09,203750000000,Language
StarGAN v2,2019-12-04,400000,Multiple domains
Statement Curriculum Learning,2022-03-02,372000000000,Multiple domains
Student of Games,2021-12-06,245760000000,Games
StyleGAN,2018-12-12,50000000,Image generation
StyleGAN2,2019-12-03,114000000,Image generation
StyleGAN3-R,2021-06-21,50000000,Image generation
StyleGAN3-T,2021-06-21,50000000,Image generation
Support Vector Machines,1995-09-01,60000,Vision
Swift,2023-08-30,120000000,Robotics
Switch,2021-01-11,86400000000,Language
